q(t),H_ratio,S(t),MSE(ensemble_vs_ref),KL(f_mean||D),"JS(f_mean,D)",q_stagnation,q_tail_ratio,q_entropy_ratio
0.3069542202391907,0.8805676017807781,0.0,1.6597454775239535e-05,0.48652483500983273,0.10542034949750709,0.8854485152269758,7.080482041911377,0.9885540588399124
0.2797830409138677,0.8987873235129652,0.0,1.5859735116174335e-05,0.384577444051501,0.08712218424057641,0.888663831952497,7.071452512225208,0.9922145542570423
0.2573900737435258,0.9133424809420848,0.0,1.5171457030121824e-05,0.3309971574139349,0.07548547971318832,0.8917248565239093,7.063463819775226,0.9958551451029298
0.23759300699571756,0.9253836023779414,0.0,1.4528108957679376e-05,0.29812383123401104,0.06768619853022344,0.8946489451811942,7.056458697067432,0.9995010360050322
0.21977652953118576,0.9355227748171564,0.0,1.3925919651580796e-05,0.27666678363025,0.06236343471268807,0.8974494750046716,7.0503813674032445,1.003163027577202
0.20359628141869668,0.9441527202943241,0.0,1.3361658818481399e-05,0.2622608381686161,0.05872506480805826,0.9001365301716531,7.0451766348814235,1.0068435156381716
0.18881927510032837,0.9515509412806538,0.0,1.2832520686025571e-05,0.2524795299109398,0.056263160100591174,0.9027175149671518,7.040789808578502,1.010539962484127
0.1752717796855101,0.9579253389557277,0.0,1.2336043036750945e-05,0.24583155914444083,0.05463268195828475,0.9051976722444731,7.0371668854855285,1.0142470205940344
0.16281646686924783,0.9634378254614632,0.0,1.1870046561746527e-05,0.24133865793652276,0.05359043238840876,0.9075805124489171,7.034254821325292,1.0179578595047387
0.15134055829471343,0.9682179733331168,0.0,1.1432587659142692e-05,0.23833009178612047,0.05296076754779194,0.9098681669486016,7.0320018193872205,1.021665000882684
0.14074895310648022,0.9723715565342775,0.0,1.1021920860851162e-05,0.23633168724103384,0.052614780888138354,0.9120616808248798,7.030357603926031,1.0253608434233181
0.13095990879580027,0.9759862242713411,0.0,1.0636468485077696e-05,0.23500107338257742,0.05245691291774025,0.9141612587876831,7.029273661208632,1.0290379892511772
0.12190215503810753,0.9791354502748248,0.0,1.0274795874482781e-05,0.23408755887591973,0.05241595122678478,0.9161664754315317,7.028703440109287,1.032689441772204
0.11351286944175987,0.9818813863895496,0.0,9.935591038441429e-06,0.2334060679391289,0.052438771824216523,0.9180764584929776,7.02860250936613,1.0363087194825151
0.10573620102594788,0.9842769882495633,0.0,9.617647816404803e-06,0.23281955282877753,0.05248586865081761,0.9198900514602066,7.0289286718671,1.0398899144852711
0.09852215775638645,0.9863676391119963,0.0,9.319851885231753e-06,0.23222675262682685,0.052528091442154604,0.9216059599348322,7.029642038386206,1.0434277145745932
0.09182574529707116,0.9881924167220459,0.0,9.04116908141384e-06,0.23155345240023517,0.05254422393830954,0.9232228845649795,7.030705064439979,1.046917401434319
0.08560628471735965,0.9897850993845363,0.0,8.780635618973029e-06,0.23074610690199787,0.052519160462424753,0.9247396421275171,7.032082554618766,1.050354833404934
0.07982686122304472,0.9911749770616919,0.0,8.537349867263575e-06,0.2297671042007734,0.05244251696777883,0.9261552753947335,7.033741639029098,1.0537364185701752
0.07445387114006957,0.9923875137513668,0.0,8.31046541746081e-06,0.22859119246723653,0.05230756273734097,0.927469151736876,7.035651726479005,1.057059082102445
0.06945664414526481,0.9934448944164901,0.0,8.099185217162244e-06,0.22720274779553978,0.05211039202248695,0.9286810499518167,7.037784438836713,1.060320230572063
0.06480712421425222,0.994366480896555,0.0,7.90275659270921e-06,0.22559366040716328,0.05184927735617251,0.9297912345468816,7.040113530663277,1.0635177150739623
0.060479597161573306,0.9951691950743927,0.0,7.720467011015545e-06,0.2237616822790453,0.051524161839057774,0.9308005165993392,7.0426147978140285,1.0666497944316295
0.05645045571278723,0.9958678431938199,0.0,7.551640458655208e-06,0.22170912364346523,0.05113625869306356,0.9317103003669878,7.0452659782622185,1.0697150993205249
0.0526979952239186,0.9964753920537849,0.0,7.395634337047452e-06,0.2194418164369581,0.05068773427341484,0.9325226149848793,7.048046647949879,1.072712597857983
0.04920223473635238,0.9970032054706559,0.0,7.251836789796517e-06,0.21696828428048787,0.05018145648116912,0.9332401308440774,7.0509381140365885,1.075641562997374
0.04594475921089347,0.9974612476555406,0.0,7.119664392368553e-06,0.2142990739066556,0.04962079475781338,0.9338661605781796,7.053923307510018,1.0785015419161212
0.042908579646616485,0.9978582588310567,0.0,6.998560145924358e-06,0.21144621403132122,0.04900946100232895,0.9344046449569685,7.0569866767512694,1.0812923274827941
0.040078008441778556,0.99820190739667,0.0,6.887991726744941e-06,0.20842277577065763,0.04835138312687178,0.9348601243777956,7.060114083317332,1.0840139318156197
0.03743854785297168,0.998498922163031,0.0,6.787449950662825e-06,0.20524251469210247,0.047650604769039095,0.9352376970287934,7.0632927009136415,1.0866665618947473
0.03497678979514868,0.998755207556322,0.0,6.696447418543045e-06,0.20191957905204783,0.046911206055654533,0.9355429651504361,7.066510918280973,1.08925059715713
0.03268032552776068,0.9989759442021898,0.0,6.614517314383998e-06,0.1984682721290361,0.046137241372638346,0.9357819711233392,7.069758246510253,1.091766568981417
0.03053766401164565,0.9991656769052213,0.0,6.541212332222696e-06,0.19490285910264374,0.045332690916299614,0.935961125344728,7.073025231123438,1.0942151419574673
0.028538157912547546,0.9993283917217884,0.0,6.47610371188876e-06,0.1912374108661795,0.044501423441078825,0.9360871280129748,7.076303369114505,1.0965970968285157
0.02667193638131976,0.9994675835648629,0.0,6.418780366884411e-06,0.1874856786489869,0.043647168120311136,0.9361668870136759,7.079585031028401,1.0989133149918957
0.024929843866278778,0.9995863155664447,0.0,6.368848090378917e-06,0.1836609944738133,0.04277349383209993,0.9362074340919289,7.082863388063491,1.1011647644451796
0.023303384316053777,0.9996872712470569,0.0,6.325928827581309e-06,0.17977619336942519,0.04188379449610233,0.9362158414086583,7.086132344111467,1.1033524870676794
0.021784670216358493,0.9997728003949069,0.0,6.289660004666378e-06,0.17584355396020107,0.04098127933727354,0.9361991404231208,7.089386472594336,1.1054775871317513
0.02036637597505364,0.9998449594341896,0.0,6.259693906034337e-06,0.1718747546090592,0.04006896715338487,0.936164244831296,7.0926209579183235,1.1075412209437145
0.019041695229450983,0.999905546958048,0.0,6.23569709303377e-06,0.1678808427326361,0.039149683825125764,0.9361178790349458,7.095831541336624,1.10954458752006
0.01780430170022529,0.9999561350135375,0.0,6.217349858410819e-06,0.16387221526426232,0.0382260624390586,0.9360665133337902,7.099014470994721,1.1114889202107112
0.016648313259273517,0.9999980966506575,0.0,6.204345711699491e-06,0.15985860853093342,0.037300545500977444,0.9360163067383489,7.102166455921599,1.1133754791872206
0.01556825891570518,1.000032630183014,0.0,6.196390891566959e-06,0.15584909605007574,0.03637538880526846,0.9359730580073057,7.105284623725883,1.1152055447197717
0.01457536354747413,1.0000607805521062,0.0,6.19320389035644e-06,0.1518520449433567,0.03545265541397745,0.9359421821676832,7.108366506626868,1.1169804254405404
0.013646334777778324,1.0000834581391949,0.0,6.194515130313982e-06,0.14787523236267003,0.03453424664437425,0.9359286429257209,7.111409951462671,1.1187014212120103
0.012776265842840084,1.0001014553270116,0.0,6.200066400786742e-06,0.14392580197103372,0.033621895436146354,0.9359369474521158,7.114413116064203,1.1203698357887562
0.011961446030663625,1.0001154610772827,0.0,6.209610453892234e-06,0.1400102794455455,0.0327171731766521,0.9359711320898574,7.117374440804001,1.1219869733568875
0.011198394414862811,1.0001260737583377,0.0,6.222910618419387e-06,0.13613459381628315,0.031821497565481506,0.9360347546752509,7.120292621217292,1.1235541346944502
0.010483846074238579,1.000133812429345,0.0,6.239740426239265e-06,0.13230410102559356,0.030936140682725793,0.9361308938102473,7.123166583003942,1.1250726137925187
0.00981473908545727,1.0001391267633686,0.0,6.259883250396617e-06,0.12852360914534963,0.030062237143205314,0.9362621543725191,7.125995459223312,1.1265436948926257
0.009188202251775524,1.0001424057700663,0.0,6.283131954198115e-06,0.12479740476460169,0.029200792240173724,0.9364306784992789,7.1287785695054735,1.127968649900152
0.00860154353176934,1.000143985460012,0.0,6.3092885507317e-06,0.12112928012681017,0.028352690000059265,0.9366381612596232,7.131515401113864,1.1293487361369199
0.00805223913311326,1.000144155576044,0.0,6.338163872347979e-06,0.11752256065549278,0.027518701085123668,0.9368858702339404,7.1342055917057445,1.1306851943995866
0.00753792323760083,1.0001431655023836,0.0,6.369577249712749e-06,0.11398013256046446,0.0266994904939299,0.9371746682431372,7.1368489136478654,1.1319792472934656
0.0070563783247798995,1.0001412294493661,0.0,6.403356200102571e-06,0.11050447026448619,0.025895625020553203,0.9375050385107627,7.139445259755353,1.133232097814182
0.00660552606279019,1.0001385310001671,0.0,6.4393361246653135e-06,0.1070976634326794,0.025107580442831037,0.9378771115932427,7.141994630331896,1.1344449281521238
