q(t),H_ratio,S(t),MSE(model0_vs_ref),KL(f0||D),"JS(f0,D)",q_stagnation,q_tail_ratio,q_entropy_ratio
0.3069542202391907,0.8805676017807781,0.0,7.756641637554141e-05,0.6150772173618274,0.1418977219190184,0.8987511369656719,6.8640746052080015,0.8807699127576326
0.2797830409138677,0.8987873235129652,0.0,7.406856016643107e-05,0.5459170537867433,0.1259587953270861,0.8985692798125017,6.855680790716254,0.8869329403025159
0.2573900737435258,0.9133424809420848,0.0,7.07596385311099e-05,0.507259890039897,0.1157885452763053,0.8983541920005387,6.84892787157353,0.8930322412296371
0.23759300699571756,0.9253836023779414,0.0,6.762505238497775e-05,0.48176612698524535,0.10881477286979206,0.8981098187732688,6.843716623737296,0.8990889890789351
0.21977652953118576,0.9355227748171564,0.0,6.465242502281497e-05,0.46353343808555936,0.10383945077605694,0.8978393671186652,6.839944166373414,0.9051134335767033
0.20359628141869668,0.9441527202943241,0.0,6.183092559551248e-05,0.4497601508189988,0.10018411006787992,0.8975454195677434,6.837504582894452,0.9111086551443047
0.18881927510032837,0.9515509412806538,0.0,5.9150922234969125e-05,0.4388801758253071,0.09742445207008354,0.897230029161989,6.836290402967283,0.9170730218513883
0.1752717796855101,0.9579253389557277,0.0,5.660375938378422e-05,0.42993061791962395,0.09527927577505242,0.8968947987288646,6.836194243573655,0.9230019084343456
0.16281646686924783,0.9634378254614632,0.0,5.418159850582284e-05,0.422282824602122,0.09355533418862048,0.8965409475301142,6.837110366849099,0.928888919788477
0.15134055829471343,0.9682179733331168,0.0,5.187729699910061e-05,0.41550988305071374,0.09211670347677645,0.8961693676511703,6.838936045621852,0.934726759640975
0.14074895310648022,0.9723715565342775,0.0,4.968431262199794e-05,0.4093142267730681,0.09086637656339042,0.8957806719624598,6.841572687888945,0.940507838587681
0.13095990879580027,0.9759862242713411,0.0,4.7596626139803156e-05,0.40348495944698093,0.08973455429141289,0.8953752350947445,6.844926706151583,0.9462246893933536
0.12190215503810753,0.9791354502748248,0.0,4.5608677592174414e-05,0.39787121048958146,0.08867087574170324,0.8949532285838876,6.848910139348191,0.9518702402808453
0.11351286944175987,0.9818813863895496,0.0,4.371531307819426e-05,0.39236474702228175,0.08763909489772947,0.8945146511230633,6.853441048688108,0.9574379846037849
0.10573620102594788,0.9842769882495633,0.0,4.191173985750771e-05,0.38688822502407216,0.08661334203025718,0.8940593546916028,6.858443716326642,0.9629220759785083
0.09852215775638645,0.9863676391119963,0.0,4.019348814554358e-05,0.381387026617828,0.08557544612504117,0.8935870671960953,6.863848679108765,0.968317370757682
0.09182574529707116,0.9881924167220459,0.0,3.8556378372553885e-05,0.3758234582636515,0.0845129865766477,0.8930974121521915,6.869592629792831,0.9736194341564085
0.08560628471735965,0.9897850993845363,0.0,3.699649295192402e-05,0.3701725478025679,0.08341785679884373,0.8925899258485308,6.87561821627273,0.9788245220500085
0.07982686122304472,0.9911749770616919,0.0,3.551015180368281e-05,0.364418949882336,0.08228519345874076,0.8920640723629629,6.881873766170012,0.9839295471886083
