q(t),H_ratio,S(t),MSE(model_vs_ref),KL(f||D),"JS(f,D)",q_stagnation,q_tail_ratio,q_entropy_ratio
0.3069542202391907,0.8805676017807781,0.0,1.0755700472297282e-05,0.4135957043326631,0.08892120731191766,0.8143496103613557,7.083506965347035,1.053325481123238
0.2797830409138677,0.8987873235129652,0.0,1.028185808933928e-05,0.3138151320787591,0.07159399457279828,0.8148277773258987,7.0744705992691035,1.0544261022644468
0.2573900737435258,0.9133424809420848,0.0,9.84360607337564e-06,0.2629853844480545,0.06086868060106282,0.8152417246233884,7.066468588510025,1.0556729591479868
0.23759300699571756,0.9253836023779414,0.0,9.437484917490092e-06,0.23300792548606938,0.053923443785845265,0.8156060253950193,7.059444064370843,1.0570631734289087
0.21977652953118576,0.9355227748171564,0.0,9.060621432109853e-06,0.2144535230157852,0.049400596871352995,0.8159317914911768,7.05334168744265,1.0585898782050847
0.20359628141869668,0.9441527202943241,0.0,8.710576969230972e-06,0.2028987840098113,0.04651148634611395,0.8162274208483469,7.048106727935074,1.0602435480144905
0.18881927510032837,0.9515509412806538,0.0,8.385254543525787e-06,0.19588959101135967,0.04475158547697195,0.8164991517888642,7.043684979587047,1.0620129709746833
0.1752717796855101,0.9579253389557277,0.0,8.082832652921074e-06,0.19192090725561423,0.04377906473618471,0.8167514949594431,7.040022932668115,1.0638859772011484
0.16281646686924783,0.9634378254614632,0.0,7.801715093746103e-06,0.19000780645069,0.04335370445932564,0.8169875766380617,7.037068035673255,1.065849985146476
0.15134055829471343,0.9682179733331168,0.0,7.540491691611634e-06,0.18947678047794111,0.04330260855494069,0.8172094145367375,7.034768976124849,1.0678924072791185
0.14074895310648022,0.9723715565342775,0.0,7.297907011624357e-06,0.18985313579849827,0.04349940318297368,0.817418140935039,7.033075947174306,1.0700009456605302
0.13095990879580027,0.9759862242713411,0.0,7.0728351366387796e-06,0.1907953450564414,0.0438508668054277,0.8176141841460409,7.031940883138382,1.0721638011054406
0.12190215503810753,0.9791354502748248,0.0,6.864259174533241e-06,0.19205441286083547,0.044287950515800166,0.817797416716182,7.031317655848278,1.0743698147714262
0.11351286944175987,0.9818813863895496,0.0,6.671254511071304e-06,0.193447505084541,0.04475953778062452,0.8179672768868577,7.0311622288496265,1.0766085573555442
0.10573620102594788,0.9842769882495633,0.0,6.492975062984404e-06,0.19484017030739936,0.04522798989326007,0.8181228684469188,7.031432769710207,1.078870378155997
0.09852215775638645,0.9863676391119963,0.0,6.328641953923608e-06,0.19613397535938623,0.0456658973624979,0.8182630430379222,7.032089722723387,1.0811464238684343
0.09182574529707116,0.9881924167220459,0.0,6.177534159027608e-06,0.19725768225952017,0.04605366952750144,0.8183864681476898,7.033095845534372,1.083428635009939
0.08560628471735965,0.9897850993845363,0.0,6.038980756536744e-06,0.19816081521943268,0.04637772078213348,0.8184916833815797,7.034416213900687,1.0857097262259483
0.07982686122304472,0.9911749770616919,0.0,5.912354496090178e-06,0.1988088838697037,0.046629089853718025,0.8185771470919201,7.0360181990863815,1.0879831553848385
0.07445387114006957,0.9923875137513668,0.0,5.797066448898817e-06,0.19917978030785283,0.046802378617363125,0.8186412750428979,7.037871422396209,1.09024308526033
0.06945664414526481,0.9934448944164901,0.0,5.692561548852515e-06,0.19926102434086024,0.04689492997363227,0.8186824724674713,7.039947691168597,1.0924843407072606
0.06480712421425222,0.994366480896555,0.0,5.598314868588038e-06,0.19904763204716747,0.046906186713280326,0.8186991606167888,7.042220920231639,1.0947023635191395
0.060479597161573306,0.9951691950743927,0.0,5.5138285026358675e-06,0.1985404492694514,0.04683718881106391,0.8186897986975475,7.044667042436181,1.096893166587108
0.05645045571278723,0.9958678431938199,0.0,5.438628952476852e-06,0.19774483655248754,0.046690177550468975,0.8186529019281489,7.0472639114533555,1.0990532885334925
0.0526979952239186,0.9964753920537849,0.0,5.372264926802962e-06,0.19666962298760346,0.04646828274974629,0.8185870563121191,7.049991199589279,1.1011797496464186
0.04920223473635238,0.9970032054706559,0.0,5.3143054853542685e-06,0.1953262681350675,0.046175275089449214,0.8184909306206227,7.0528302929474185,1.1032700096756565
0.04594475921089347,0.9974612476555406,0.0,5.264338467065902e-06,0.19372818666264535,0.045815369765656866,0.8183632859898744,7.055764185872883,1.1053219278475936
0.042908579646616485,0.9978582588310567,0.0,5.221969153427848e-06,0.1918902015071826,0.045393070840577046,0.8182029834697698,7.058777376250927,1.1073337253056186
0.040078008441778556,0.99820190739667,0.0,5.186819126350459e-06,0.18982809952635915,0.04491304802990223,0.8180089898039128,7.061855762908608,1.1093039500701405
0.03743854785297168,0.998498922163031,0.0,5.15852528676811e-06,0.1875582696317131,0.04438003946244505,0.817780381675778,7.064986546085168,1.1112314445311429
0.03497678979514868,0.998755207556322,0.0,5.136739005965544e-06,0.1850974078814818,0.043798775320595715,0.8175163486189967,7.068158131692537,1.1131153154284497
0.03268032552776068,0.9989759442021898,0.0,5.1211253863879635e-06,0.18246227738186244,0.04317391832707784,0.8172161947599665,7.071360039880369,1.1149549062351376
0.03053766401164565,0.9991656769052213,0.0,5.111362612668103e-06,0.17966951339498372,0.042510017862413714,0.8168793395368433,7.074582818247144,1.116749771833412
