One Model With Late Self Training,Two Models With Late Self Training,Zipf Two Models With Late Self Training,"Zipf Two Models With q(t), S(t), and C(x,f)",Zipf_Two_Models_q_S_C,Zipf_n2_qS_ramp_KLJS,Zipf_n1_qS_ramp_KLJS,Zipf_n10_qS_ramp_KLJS
6.170256688377764e-06,1.4200186290757973e-06,3.619040924995864e-07,1.006473095044659e-05,1.0066289126056487e-05,9.761767053332767e-06,9.990338342927923e-06,9.992917073418793e-06
6.184208264902625e-06,1.4778862341997525e-06,3.484627297497228e-07,1.009414806260838e-05,1.0095681087290864e-05,9.790093182969676e-06,1.002103018841553e-05,1.0022998374805184e-05
6.200309856034793e-06,1.5381963837159909e-06,3.355431187178627e-07,1.0123055773319724e-05,1.012456391219847e-05,9.81821528350165e-06,1.0051196075652043e-05,1.0052588060509492e-05
6.218609529561868e-06,1.600941456569292e-06,3.2312583204564897e-07,1.0151461088560462e-05,1.0152944610859822e-05,9.846123007265473e-06,1.0080842962752373e-05,1.0081691525638966e-05
6.239156421848896e-06,1.6661149771294728e-06,3.111921371864248e-07,1.0179371003745212e-05,1.0180830182337348e-05,9.873806788996842e-06,1.0109977814359304e-05,1.0110314237766479e-05
6.26200070276218e-06,1.7337115478890588e-06,2.997239739831429e-07,1.0206792498586597e-05,1.0208227609562208e-05,9.90125780718221e-06,1.0138607595486656e-05,1.0138461728082845e-05
6.287193540433392e-06,1.8037267868252351e-06,2.8870393278798925e-07,1.023373253228569e-05,1.0235143854547324e-05,9.92846794710418e-06,1.0166739265737196e-05,1.0166139583032065e-05
6.3147870657834895e-06,1.8761572690801393e-06,2.781152331254886e-07,1.0260198039033646e-05,1.0261585853910598e-05,9.955429765509728e-06,1.019437977387739e-05,1.019335343640709e-05
6.344834336733752e-06,1.9510004726415254e-06,2.6794170289925653e-07,1.0286195923809094e-05,1.028756051469292e-05,9.982136456833551e-06,1.0221536052751654e-05,1.0220108961884793e-05
6.377389302038997e-06,2.028254727731198e-06,2.5816775814111125e-07,1.0311733058456585e-05,1.0313074710456342e-05,1.0008581820911448e-05,1.0248215014519751e-05,1.0246411865979716e-05
6.41250676468562e-06,2.1079191696318545e-06,2.4877838329999466e-07,1.0336816278032086e-05,1.0338135277648402e-05,1.0034760232121378e-05,1.0274423546201495e-05,1.0272267881396985e-05
6.45024234480448e-06,2.1899936947040974e-06,2.39759112066975e-07,1.0361452377402171e-05,1.0362749012219305e-05,1.006066660989235e-05,1.0300168505513762e-05,1.029768276076571e-05
6.490652442056006e-06,2.274478919364836e-06,2.3109600873159e-07,1.0385648108084098e-05,1.0386922666479154e-05,1.008629639052376e-05,1.0325456716985423e-05,1.032266227073502e-05
6.533794197452067e-06,2.361376141815948e-06,2.227756500638955e-07,1.040941017531458e-05,1.0410662946183191e-05,1.011164550026007e-05,1.0350294968336502e-05,1.0347212186415513e-05
6.579725454586188e-06,2.4506873063282935e-06,2.1478510771575114e-07,1.0432745235335723e-05,1.0433976507833348e-05,1.0136710329568083e-05,1.037469000710834e-05,1.0371338286149918e-05
6.6285047202506365e-06,2.542414969901112e-06,2.071119311342103e-07,1.0455659892886949e-05,1.045686995618514e-05,1.0161487708566112e-05,1.039864853753237e-05,1.0395046346597128e-05
6.680191124425717e-06,2.636562271130401e-06,1.9974413097924077e-07,1.0478160698892402e-05,1.047934984194935e-05,1.0185974883556463e-05,1.0422177217625428e-05,1.0418342138114834e-05
