0.0,Self Learning Always On,Self Learning On at 15%,Self Learning On at 50%
2.7300461354665325e-06,1.2682305245317204e-05,4.672633687020153e-06,1.130906296962425e-06
2.6259864949873552e-06,1.2718954652800615e-05,4.605552740361956e-06,1.0681139200199185e-06
2.5257726039779604e-06,1.2757976193667803e-05,4.539861023108681e-06,1.0096767659194851e-06
2.4292707126765805e-06,1.279936281158506e-05,4.475536211657117e-06,9.554005185552815e-07
2.3363511307279983e-06,1.2843110838014126e-05,4.412560041191061e-06,9.051060206609204e-07
2.2468881476647857e-06,1.2889219840927346e-05,4.350918089486953e-06,8.58628016760645e-07
2.1607599513345537e-06,1.293769248305056e-05,4.2905995741945325e-06,8.158140131645314e-07
2.0778485446743337e-06,1.2988534389085647e-05,4.231597162571708e-06,7.7652324280611e-07
1.9980396611991027e-06,1.3041754021394833e-05,4.173906792727702e-06,7.406257241316157e-07
1.921222679539539e-06,1.3097362563657064e-05,4.117527505497528e-06,7.080014044827181e-07
1.8472905373343804e-06,1.3155373812033884e-05,4.062461286134461e-06,6.785393794932982e-07
1.776139644754962e-06,1.321580407340725e-05,4.008712915065905e-06,6.521371809662283e-07
1.7076697979136868e-06,1.3278672070275973e-05,3.956289827012384e-06,6.287001265259875e-07
1.6417840923841235e-06,1.334399885191964e-05,3.905201977819668e-06,6.081407250724814e-07
1.5783888370380966e-06,1.3411807711460267e-05,3.855461718400714e-06,5.903781327038034e-07
1.517393468384376e-06,1.3482124108471576e-05,3.807083675227404e-06,5.75337654342097e-07
1.4587104655743473e-06,1.3554975596804473e-05,3.76008463685235e-06,5.629502867969235e-07
