q(t),H_ratio,S(t),q_stagnation,q_tail_ratio,q_entropy_ratio
0.3500393683667481,0.8820924688134745,0.0,0.8087562755305512,7.092911272961374,1.0575300615528334
0.30642295767239197,0.9011424395135968,0.0,0.8093325811043609,7.083327685841659,1.0586000061695264
0.2763561247567681,0.9162157163056955,0.0,0.8098311626640036,7.074958147502074,1.0598319319761431
0.2533512432182658,0.9285728450241998,0.0,0.8102723664074566,7.067698185667197,1.0612231470533775
0.23283044472435374,0.9388860998984696,0.0,0.8106701307981576,7.0614699459007095,1.0627638116625204
0.21434254664858454,0.9475871197685929,0.0,0.8110346440974904,7.056199005827069,1.0644412413618842
0.19758299343486263,0.9549806990301569,0.0,0.8113732199454116,7.051813819287999,1.0662411617599865
0.18232551594824112,0.9612947791678036,0.0,0.8116909508213209,7.0482456290731115,1.0681485980574656
0.16839206869143525,0.9667064041646828,0.0,0.8119912078324882,7.04542854620097,1.070148504322999
0.15563718739505938,0.9713567708321201,0.0,0.8122760282098177,7.043299678229015,1.0722262011879418
0.1439388887854497,0.975360674855708,0.0,0.8125464184639519,7.041799254197082,1.0743676708315224
0.13319293243780725,0.9788128036668917,0.0,0.8128025931506405,7.040870722113298,1.0765597455480589
0.12330897439397415,0.9817921279618619,0.0,0.8130441639253507,7.040460808945017,1.078790217445134
0.11420786175959313,0.9843650820015599,0.0,0.8132702898968719,7.040519540624261,1.081047890383901
0.10581965447465005,0.9865879370837537,0.0,0.813479797643892,7.041000223750873,1.0833225903615233
0.09808213186652492,0.9885086172705697,0.0,0.8136712773084844,7.041859392930255,1.085605146717805
0.0909396347512609,0.990168117327766,0.0,0.8138431597211105,7.043056728773888,1.0878873535578308
0.0843421472993802,0.9916016293013501,0.0,0.8139937784073985,7.044554951957081,1.0901619184404205
0.07824455497742648,0.9928394507346214,0.0,0.8141214194842085,7.046319698641871,1.0924224035561902
0.07260603490816905,0.9939077259505811,0.0,0.8142243618049264,7.04831938221289,1.0946631632055064
0.06738954791920496,0.9948290574803746,0.0,0.8143009092136891,7.050525045761309,1.0968792803020786
0.06256141013763705,0.9956230149341625,0.0,0.8143494163799109,7.052910209169181,1.0990665038038974
0.05809092784180194,0.9963065617824982,0.0,0.8143683093819144,7.055450714048883,1.1012211883538425
